date,ticker,action,price,shares,value,reason,entry_date,entry_price,exit_price,cost,proceeds,pl,pl_pct,hold_days
2025-04-14,GEV,BUY,320.8879758634761,4,1283.5519034539043,NEW_CANDIDATE,,,,,,,,
2025-04-15,GEV,SELL,,4,,BEAR_STRONG_WEAK_EXIT,2025-04-14,320.8879758634761,327.7020602416992,1283.5519034539043,1310.8082409667968,27.256337512892514,2.123508791467533,1.0
2025-04-15,NEM,BUY,54.95257456280022,27,1483.719513195606,NEW_CANDIDATE,,,,,,,,
2025-04-15,RWM,BUY,21.183950074298362,1720,36436.39412779318,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-16,NEM,SELL,,27,,BEAR_STRONG_WEAK_EXIT,2025-04-15,54.95257456280022,55.44917976379394,1483.719513195606,1497.1278536224365,13.408340426830591,0.9036977884015269,1.0
2025-04-17,RWM,SELL,,1720,,BEAR_STRONG_WEAK_EXIT,2025-04-15,21.183950074298362,21.48447165298462,36436.39412779318,36953.29124313355,516.897115340369,1.4186286204048029,2.0
2025-04-17,NEM,BUY,55.32643128223733,27,1493.813644620408,NEW_CANDIDATE,,,,,,,,
2025-04-21,NEM,SELL,,27,,BEAR_STRONG_WEAK_EXIT,2025-04-17,55.32643128223733,54.71580208969117,1493.813644620408,1477.3266564216615,-16.48698819874653,-1.103684402543801,4.0
2025-04-21,DLTR,BUY,80.02748953835686,18,1440.4948116904234,NEW_CANDIDATE,,,,,,,,
2025-04-21,RWM,BUY,22.317770882168226,1693,37783.986103510804,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-22,RWM,SELL,,1693,,BEAR_STRONG_WEAK_EXIT,2025-04-21,22.317770882168226,21.356997631073,37783.986103510804,36157.39698940659,-1626.5891141042157,-4.304969596506062,1.0
2025-04-23,DLTR,SELL,,18,,BEAR_STRONG_WEAK_EXIT,2025-04-21,80.02748953835686,83.34657030487061,1440.4948116904234,1500.238265487671,59.74345379724764,4.147425822876695,2.0
2025-04-23,FIS,BUY,79.1421024461387,19,1503.6999464766352,NEW_CANDIDATE,,,,,,,,
2025-04-23,RWM,BUY,21.39144279250997,1711,36600.75861798456,INVERSE_ETF_BEAR_STRONG,,,,,,,,
2025-04-24,RWM,SELL,,1711,,BEAR_STRONG_WEAK_EXIT,2025-04-23,21.39144279250997,20.631371292114256,36600.75861798456,35300.27628080749,-1300.482337177069,-3.5531567822150256,1.0
2025-04-25,GEV,BUY,361.9683739167177,6,2171.8102435003066,NEW_CANDIDATE,,,,,,,,
2025-04-25,RWM,BUY,20.301055209150384,1214,24645.481023908567,INVERSE_ETF_BEAR_WEAK,,,,,,,,
2025-04-28,PSQ,SELL,,1027,,BEAR_WEAK_REDUCE,2025-04-09,39.76412203582952,38.53020259094238,40837.75333079692,39570.518060897826,-1267.2352698990944,-3.103097419767791,19.0
2025-04-29,PSQ,BUY,37.90409322658416,821,31119.260539025596,INVERSE_ETF_BEAR_WEAK,,,,,,,,
2025-04-30,SH,SELL,,734,,BEAR_WEAK_REDUCE,2025-04-11,44.40249198971671,43.40730531692505,32591.429120452063,31860.962102622983,-730.4670178290799,-2.2412856310455274,19.0
2025-05-01,GEV,SELL,,6,,TAKE_PROFIT,2025-04-25,361.9683739167177,386.7297112601144,2171.8102435003066,2320.3782675606863,148.56802406037968,6.84074607830068,6.0
2025-05-01,SH,BUY,43.66038198976255,738,32221.36190844476,INVERSE_ETF_BEAR_WEAK,,,,,,,,
2025-05-09,APP,BUY,341.291595089561,10,3412.91595089561,NEW_CANDIDATE,,,,,,,,
2025-05-09,PLTR,BUY,121.65409501288015,29,3527.9687553735243,NEW_CANDIDATE,,,,,,,,
