ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,pl,pl_pct,hold_days,reason,entry_reason,action,date
BRO,Financials,2021-01-15,2021-01-21,44.81052809143066,45.84143796157837,33,34.020025714874464,2.30059745791047,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
CHRW,Industrials,2021-01-15,2021-01-21,84.98097609710692,87.2519246520996,17,38.606125434875594,2.6723022719787206,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
CHTR,Communication Services,2021-01-15,2021-01-21,629.5388831176757,649.7795626831055,2,40.48135913085957,3.215159556974708,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
DHR,Health Care,2021-01-15,2021-01-21,205.81776425170892,202.23978799438473,7,-25.045833801269282,-1.7384195530121618,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
EA,Communication Services,2021-01-15,2021-01-21,135.59102197265622,142.10558541870117,11,71.6601979064942,4.8045684376939635,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
EXPD,Industrials,2021-01-15,2021-01-21,88.56015900421141,89.1798882522583,16,9.915667968750085,0.6997833506796318,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
GRMN,Consumer Discretionary,2021-01-15,2021-01-21,109.15949600219726,111.43515282440185,13,29.5835386886597,2.084708069885909,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
GEN,Information Technology,2021-01-15,2021-01-21,18.531824697494503,18.648546226501466,80,9.337722320557077,0.6298436927408674,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
ICE,Financials,2021-01-15,2021-01-21,108.4670852279663,106.11711193084717,13,-30.549652862548555,-2.16653124971521,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
JNJ,Health Care,2021-01-15,2021-01-21,140.09747705078124,141.06481814575196,10,9.673410949707204,0.6904771701349679,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
LIN,Materials,2021-01-15,2021-01-21,241.9970653686523,236.93759939575196,6,-30.356795837401933,-2.0907137717529167,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
MMC,Financials,2021-01-15,2021-01-21,103.98202145385741,103.76499710083007,14,-3.0383409423827743,-0.2087133429346214,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
MRK,Health Care,2021-01-15,2021-01-21,68.53155971527099,66.59003581237793,21,-40.772001960754096,-2.833036211286491,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
TYL,Information Technology,2021-01-15,2021-01-21,422.742327331543,426.28328146362304,3,10.62286239624018,0.837615233476019,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
TRI,Consumer Discretionary,2021-01-15,2021-01-21,75.11420848083495,75.91410694885253,19,15.198070892334044,1.0649096678182688,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-21
ABBV,Health Care,2021-01-25,2021-01-27,92.08364509582518,85.4874631576538,16,-105.53891101074191,-7.163250250690198,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
AKAM,Information Technology,2021-01-25,2021-01-27,111.44133183288571,120.31956243896482,13,115.41699787902849,7.96673052991924,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
T,Communication Services,2021-01-25,2021-01-27,16.094844635009764,16.07924348258972,93,-1.4509071750640032,-0.09693260651989874,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
BALL,Materials,2021-01-25,2021-01-27,84.84606043243407,80.4078539428711,17,-75.44951032257063,-5.230892827484053,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
BRK-B,Financials,2021-01-25,2021-01-27,233.24300450134277,227.13264060974123,6,-36.66218334960922,-2.6197415458032993,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
BMY,Health Care,2021-01-25,2021-01-27,53.84327541732787,51.406572669982914,27,-65.79097417831372,-4.525547022276382,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
BRO,Financials,2021-01-25,2021-01-27,46.19452484130859,42.57670440673828,32,-115.77025390624999,-7.831708296596967,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
CHRW,Industrials,2021-01-25,2021-01-27,88.64942817687988,81.52421388244629,16,-114.00342871093744,-8.037518617962021,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
CHTR,Communication Services,2021-01-25,2021-01-27,652.8221528930663,615.1642492675782,2,-75.31580725097638,-5.768478207824641,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
DHR,Health Care,2021-01-25,2021-01-27,207.034846206665,192.78285424804687,7,-99.76394371032711,-6.883861446392278,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
EA,Communication Services,2021-01-25,2021-01-27,142.71201219177246,142.3587042388916,10,-3.5330795288086847,-0.24756707403585831,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
EXPD,Industrials,2021-01-25,2021-01-27,89.30140090942382,89.06608005523681,16,-3.765133666992142,-0.26351306003103914,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
GRMN,Consumer Discretionary,2021-01-25,2021-01-27,111.42369794464112,105.6104169845581,13,-75.57265248107933,-5.217275200264176,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
GEN,Information Technology,2021-01-25,2021-01-27,18.722125968933103,18.82038273239136,80,7.860541076660411,0.524816271513712,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
ICE,Financials,2021-01-25,2021-01-27,105.89641715240478,102.7621862182617,14,-43.87923307800315,-2.9597138585268064,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
JNJ,Health Care,2021-01-25,2021-01-27,145.06160369873047,146.42898596191407,10,13.673822631836174,0.942621774693357,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
LIN,Materials,2021-01-25,2021-01-27,237.33693809509276,227.30853570556638,6,-60.170414337158036,-4.225386267310951,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
MMC,Financials,2021-01-25,2021-01-27,104.1586887283325,99.8400548171997,14,-60.460874755859095,-4.146206105183108,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
TYL,Information Technology,2021-01-25,2021-01-27,429.429,430.98859341430665,3,4.678780242920084,0.3631784100064725,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
TRI,Consumer Discretionary,2021-01-25,2021-01-27,77.54989215850829,74.57297353363037,19,-56.561453872680204,-3.8387140742803685,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-27
AKAM,Information Technology,2021-02-04,2021-02-10,112.2221106109619,104.99489847564698,13,-93.95375775909406,-6.440096426602915,6,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-10
JKHY,Financials,2021-02-04,2021-02-12,144.81312548828123,137.22175648498535,10,-75.91369003295881,-5.2421829704312275,8,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-12
T,Communication Services,2021-02-04,2021-02-16,15.973209754943847,15.985438608169556,93,1.137283349991094,0.07655852150771232,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-16
CHTR,Communication Services,2021-02-04,2021-02-16,620.409768005371,617.8515007324219,2,-5.116534545898276,-0.41235122412305253,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-16
EBAY,Consumer Discretionary,2021-02-04,2021-02-16,56.26376141738891,57.75907763671875,26,38.87822170257573,2.657689748534467,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-16
EA,Communication Services,2021-02-04,2021-02-16,135.23011149597167,141.92062042236327,10,66.90508926391612,4.9474993789315285,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-16
GRMN,Consumer Discretionary,2021-02-04,2021-02-16,107.58988902282714,119.26748446655273,13,151.8087407684327,10.853803781922275,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-16
BALL,Materials,2021-02-04,2021-02-18,83.93963733673095,85.15715110015869,17,20.697733978271344,1.4504634545221666,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
BDX,Health Care,2021-02-04,2021-02-18,230.9062584686279,231.28567945861818,6,2.276525939941621,0.1643181923723476,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
BRK-B,Financials,2021-02-04,2021-02-18,236.00577427673335,243.2565,6,43.504354339599786,3.072266238183073,14,TAKE_PROFIT,NEW_CANDIDATE,SELL,2021-02-18
BMY,Health Care,2021-02-04,2021-02-18,51.12744660949706,50.57769808959961,29,-15.94270707702617,-1.0752512717803844,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
BRO,Financials,2021-02-04,2021-02-18,42.58798993301391,42.89976054382324,34,10.600200767517435,0.7320622816425857,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
CHRW,Industrials,2021-02-04,2021-02-18,77.92972718048095,81.27479161834717,19,63.556224319458124,4.292411328631028,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
DHR,Health Care,2021-02-04,2021-02-18,204.75718019104002,205.97047434997558,7,8.493059112548963,0.5925526801079959,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
EXPD,Industrials,2021-02-04,2021-02-18,86.80207027435301,89.36008964538574,17,43.48632930755639,2.9469566370337303,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
GEN,Information Technology,2021-02-04,2021-02-18,19.428964990615842,18.847514310836793,76,-44.19025166320762,-2.9927002290646327,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
ICE,Financials,2021-02-04,2021-02-18,107.8644476699829,107.00048975372314,13,-11.231452911376664,-0.8009663377715235,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
JNJ,Health Care,2021-02-04,2021-02-18,141.57449275207517,144.56244616699217,10,29.879534149170013,2.110516772360609,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
LIN,Materials,2021-02-04,2021-02-18,233.64258886718747,233.8776741027832,6,1.4105114135743406,0.10061745880129587,14,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-18
TYL,Information Technology,2021-02-04,2021-02-18,425.3248938903808,470.5190002441406,3,135.58231906127935,10.625784430433004,14,TAKE_PROFIT,NEW_CANDIDATE,SELL,2021-02-18
DHR,Health Care,2021-02-18,2021-02-22,206.38282765197752,195.645955078125,7,-75.15810801696762,-5.202405983097615,4,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-22
VRSN,Information Technology,2021-02-10,2021-02-23,202.2166783599853,190.79567715454098,7,-79.94700843811029,-5.647902684422848,13,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-23
EBAY,Consumer Discretionary,2021-02-16,2021-02-24,57.87471142578124,54.552795398712156,25,-83.04790067672707,-5.73984032962155,8,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-24
EA,Communication Services,2021-02-16,2021-02-24,142.2047457885742,134.0350507507324,10,-81.69695037841802,-5.745022778626716,8,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-02-24
MMC,Financials,2021-02-12,2021-02-25,105.324587348938,110.17418513488771,14,67.89436900329588,4.604430843752652,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
T,Communication Services,2021-02-16,2021-02-25,16.01744148826599,15.797829812049867,93,-20.42388588809945,-1.3710783733906915,9,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
CHTR,Communication Services,2021-02-16,2021-02-25,619.088440673828,600.9484378051758,2,-36.280005737304464,-2.930114936229191,9,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
GRMN,Consumer Discretionary,2021-02-16,2021-02-25,119.5062582092285,111.93930210113525,12,-90.8034732971189,-6.3318492449535215,9,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
