date,regime,regime_changed,signals_generated,buy_orders,sell_orders,positions_open,portfolio_value,cash,exposure_pct
2025-01-10,BULL_WEAK,False,91,0,2,7,146335.45993151303,62655.94278063413,57.18334926479341
2025-01-13,BULL_WEAK,False,95,0,0,7,145853.97832216855,62655.94278063413,57.04200632619223
2025-01-14,BULL_WEAK,False,98,0,0,7,147130.22690691586,62655.94278063413,57.41463593318975
2025-01-15,BULL_WEAK,False,110,0,0,7,149573.93495287534,62655.94278063413,58.11038681279966
2025-01-16,BULL_WEAK,False,114,0,0,7,149668.5676776373,62655.94278063413,58.13687285657384
2025-01-17,BULL_WEAK,False,126,0,0,7,152197.98782076474,62655.94278063413,58.83260765942543
2025-01-21,BULL_WEAK,False,144,0,0,7,152530.4005290472,62655.94278063413,58.922324622951336
2025-01-22,BULL_WEAK,False,140,3,2,8,153944.49753463757,53819.35334671032,65.03976809265238
2025-01-23,BULL_WEAK,False,138,1,1,8,152246.68325791907,53021.85639558386,65.17371987292475
2025-01-24,BULL_WEAK,False,144,0,0,8,151156.2450254972,53021.85639558386,64.92248376066759
2025-01-27,BULL_WEAK,False,133,1,1,8,149052.27045890104,52177.94194098722,64.99352758576428
2025-01-28,BULL_WEAK,False,137,0,0,8,150812.36840506803,52177.94194098722,65.40208041767363
2025-01-29,BULL_WEAK,False,141,0,0,8,151446.69998999845,52177.94194098722,65.54699313723373
2025-01-30,BULL_WEAK,False,151,0,0,8,153068.75039740812,52177.94194098722,65.91208734276651
2025-01-31,BULL_WEAK,False,143,0,0,8,152637.1796729208,52177.94194098722,65.81570620421779
2025-02-03,BULL_WEAK,False,270,1,0,9,151783.90676177834,40081.700905455116,73.59291787872974
2025-02-04,BULL_WEAK,False,263,1,1,9,156416.31588810586,42589.569290815816,72.7716580914214
2025-02-05,BULL_WEAK,False,262,0,0,9,156188.3264395585,42589.569290815816,72.73191264566302
2025-02-06,BULL_WEAK,False,263,0,0,9,156780.59879749917,42589.569290815816,72.83492369752629
2025-02-07,BULL_WEAK,False,251,0,0,9,156089.7604491105,42589.569290815816,72.71469366839013
2025-02-10,BULL_WEAK,False,259,0,0,9,156268.859497725,42589.569290815816,72.74596523728015
2025-02-11,BULL_WEAK,False,256,0,1,8,152860.65172895315,52531.98133405568,65.6340721173926
2025-02-12,BULL_WEAK,False,243,0,0,8,154447.36122068288,52531.98133405568,65.98712925953127
2025-02-13,BULL_WEAK,False,249,4,3,9,159862.2169554448,45507.13823916672,71.53352486544708
2025-02-14,BULL_WEAK,False,244,0,0,9,161283.88197543382,45507.13823916672,71.7844475952667
2025-02-18,BULL_WEAK,False,242,0,1,8,162403.05765225587,57523.5655372351,64.57975214949035
2025-02-19,BULL_WEAK,False,242,0,0,8,158573.9981925696,57523.5655372351,63.724465427566834
2025-02-20,BULL_WEAK,False,246,2,2,8,154637.20053352718,55912.57781853086,63.84273795333721
2025-02-21,BULL_WEAK,False,226,1,2,7,149673.10047118663,66405.0754048109,55.6332599540193
2025-02-24,BULL_WEAK,False,225,3,2,8,146301.60524370533,53313.847377799575,63.558945721073414
2025-02-25,NEUTRAL_BULLISH,True,214,0,1,7,141240.97917639924,62845.91332328036,55.504476328509035
2025-02-26,NEUTRAL_BULLISH,False,215,1,1,7,142884.44853067293,61615.91331338777,56.87710317882445
2025-02-27,NEUTRAL_BULLISH,False,214,0,1,6,138940.4796318631,71337.89521261261,48.65578742665233
2025-02-28,NEUTRAL_BULLISH,False,219,0,1,5,139486.20695116854,81939.86178973055,41.255939507756395
2025-03-03,NEUTRAL_BULLISH,False,212,3,1,7,138724.02134769014,61662.100327182336,55.550524178767944
2025-03-04,NEUTRAL_BULLISH,False,203,0,1,6,137669.92220465888,72428.04962317695,47.39007005792736
2025-03-05,NEUTRAL_BULLISH,False,206,0,0,6,138913.79071967353,72428.04962317695,47.86115241118433
2025-03-06,NEUTRAL_BULLISH,False,192,2,1,7,134499.55862342918,61226.97943412865,54.4779328194292
2025-03-07,NEUTRAL_BULLISH,False,188,0,1,6,134734.56853007706,70994.97913264664,47.30752478210646
2025-03-10,NEUTRAL_BULLISH,False,180,3,3,6,131127.91422429154,66285.0644012935,49.45007339328659
2025-03-11,NEUTRAL_BULLISH,False,161,0,0,6,130416.4063202388,66285.0644012935,49.174290051721066
2025-03-12,NEUTRAL_BULLISH,False,157,1,1,6,129805.9621833815,65994.839281465,49.15885359084528
